,industry,function,usecase,paragraph_id,sentence,usecase_indication
1317,exhibit,exhibit,exhibit,1317,predict the lifetime value and risk of churn associated with individual customers ,1.5722299
1790,data richness,data richness,data richness,1790,personalize in vehicle recommendations based on location data and passenger preferences ,1.5651889
1927,price and product optimization,price and product optimization,price and product optimization,1927,predict lifetime value and risk of churn for individual customers ,1.5459023
1957,"airlines , less than truckload shipping , mobility services",use cases,optimize pricing and scheduling based on real - time demand updates,1957,predict lifetime value and risk of churn for individual customers ,1.5459023
2048,productivity and growth,internet,digital transformation : the internet ’ s impact on productivity and growth,2048,predict lifetime value and risk of churn for individual customers ,1.5459023
1969,product recommendations to target individual consumers,personalize product recommendations,personalize product recommendations,1969,predict risk of individual patient churn and optimal corrective strategy to maintain adherence ,1.5436461
1860,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1860,evaluate customer credit risk using application and other relevant data for less biased real time underwriting decisions ,1.5435596
1881,impact,impact,impact,1881,customize growing techniques specific to individual plot characteristics and relevant real time data ,1.5423355
1915,predictive analytics,predictive analytics,predictive analytics,1915,replicate human made decisions in control room environments to reduce cost and human error ,1.5412706
1786,price and product optimization,price and product optimization,price and product optimization,1786,discover anomalies across fleet of vehicle sensor data to identify potential failure risks and pre empt recalls ,1.5369501
1833,radical personalization,radical personalization,radical personalization,1833,optimize logistics procurement timing and inventory distribution across warehouses stores ,1.5359267
2006,mc,analysis,analysis,2006,predict individualized educational and career paths to maximize engagement and success ,1.5334144
1945,predictive maintenance,predictive maintenance,predictive maintenance,1945,identify fraud waste and abuse patterns in diverse clinical and operations data ,1.5324355
1951,predictive analytics,predictive analytics,predictive analytics,1951,personalize messaging and approach e g nudges to improve wellness and adherence ,1.5229349
1941,predictive analytics,predictive analytics,predictive analytics,1941,predict personalized health outcomes to optimize recommended treatment ,1.5228938
1864,price and product optimization,price and product optimization,price and product optimization,1864,discover new complex interactions in the financial system to support better risk modeling and stress testing ,1.5218358
