industry,function,usecase,paragraph_ID
analytics,data,competing in a data - driven world,0
december,december,december,1
mckinsey analytics,mckinsey analytics,mckinsey analytics,2
highlights,highlights,highlights,3
organizational,organizational challenges,organizational challenges,4
business models,disruptive business models,disruptive business models,5
decision making,enhanced decision making,enhanced decision making,6
"commercial , public , and social sectors",management and policy decisions,to develop a deeper understanding of the evolving global economy,7
30,analytical tools of economics with the insights of business leaders . our “ micro - to - macro ” methodology examines microeconomic industry trends to better understand the broad macroeconomic forces affecting business strategy and public policy,productivity,8
"chinese innovation , and digital globalization",digital,tackling gender inequality,9
"business , government , or other institution",not,research,10
"strategy , operations , data science , implementation , and change management",use - case specific,"helps clients achieve better performance through data , working together with them to build analytics - driven organizations",11
2016,2016,copyright © mckinsey & company 2016,12
analytics,data,competing in a data - driven world,13
december,december,december,14
taipei,what kind of application ? [SEP],guru,15
[SEP],preface,preface,16
"innovation , competition , and productivity","data science has continued to make rapid advances , particularly on the frontiers of machine learning and deep learning . organizations now have troves of raw data combined with powerful and sophisticated analytics",their,17
data and analytics,machine learning and deep learning,"companies are placing big bets on data and analytics . but adapting to an era of more data - driven decision making has not always proven to be a simple proposition for people or organizations . many are struggling to develop talent , business processes , and organizational muscle to capture real value from analytics . this is becoming a matter of urgency , since analytics prowess is increasingly the basis of industry competition , and the leaders are staking out large advantages . meanwhile , the technology itself is taking major leaps forward — and the next generation of technologies promises to be even more disruptive",18
data and analytics,digital,to help organizational leaders understand the potential impact of data and analytics,19
"operations , production , and external relations",analytics,"[CLS] what is main idea ? [SEP] the research was led by nicolaus henke , global leader of mckinsey analytics",20
analytics,analytics,research,21
[CLS] which industries ? [SEP],[SEP],[CLS] what is main idea ? [SEP],22
economic policy development,machine learning,machine learning,23
business and policy,not,help business and policy leaders understand the forces transforming the global economy and prepare for the next wave of growth,24
mckinsey,mc,mckinsey global institute,25
mc,mc,mckinsey global institute,26
mckinsey,mc,mckinsey global institute,27
december,december,december,28
chombosan / shutterstock,shutter,shutterstock,29
contents,contents,contents,30
highlights,highlights,highlights,31
page,what kind of application ? [SEP],what is main idea ? [SEP],32
talent,talent,the demand for talent,33
executive,executive,executive,34
data and analytics,data and analytics,the data and analytics revolution,35
opportunities,opportunities,opportunities,36
health care,radical personalization,radical personalization,37
data ecosystems,mapping,mapping value,38
data and analytics,analytics,disruption,39
machine learning and the automation of work activities,machine learning,machine learning,40
deep learning,deep learning,deep learning,41
technical,technical,technical,42
bibliography,bibliography,bibliography,43
analytics,data,competing in a data - driven world,44
data and analytics,data and analytics,the convergence of these trends is fueling rapid technology advances and business disruptions,45
"manufacturing , the public sector , and health care",digital,digital native competitors,46
data and analytics,organizational,extracting value,47
data scientists but business translators,translators,attracting and retaining the right talent,48
data and analytics,data and analytics,competition,49
capabilities not only to improve their core operations but to launch entirely new business models,digital platforms,to improve their core operations but to launch entirely new business models,50
"web , billions of phones , sensors , payment systems , cameras",analytics,its value is tied to its ultimate use . while data itself will become increasingly commoditized,51
data and analytics,analytics,introducing new types of data sets,52
products,analytical,data and analytics can enable faster and more evidence - based decision making,53
machine learning,solve a tremendous variety of problems,to solve a tremendous variety of problems,54
industries that have been slow to digitize,provide customer service,"value potential is everywhere , even in industries that have been slow to digitize . these technologies could generate productivity gains and an improved quality of life",55
data and analytics,deep learning,organizations that are able to harness these capabilities effectively will be able to create significant value and differentiate themselves,56
analytics,analytics,analytics,57
data,data - driven,competing in a data - driven world,58
european union,european union,european union,59
public sector,public sector,public sector,60
health care,health care,health care,61
manufacturing,manufacturing,manufacturing,62
united,united,what is main idea ? [SEP],63
retail,retail,retail,64
location,location - based,location - based,65
data,data,data,66
value,value share,value share,67
generate,generate,generate,68
aggregate,aggregate,aggregate,69
analyze,analyze,analyze,70
value,value,value,71
data,data,data,72
volume of data and use cases,use cases,volume of data and use cases per player analyze,73
aggregate,aggregate,aggregate,74
generate,generate,generate,75
volume,what kind of application ? [SEP],volume,76
percent,work activities,percent of work activities,77
recognizing,recognizing,recognizing,78
known,known patterns,known patterns,79
generating,generating,generating,80
natural language,natural language,natural language,81
natural language,understanding natural language,understanding natural language,82
enhanced sensory,enhanced sensory,enhanced sensory,83
opt,optimizing,optimizing,84
perception,perception,perception,85
planning,planning,planning,86
b . busco / getty images,what kind of application ? [SEP],what is main idea ? [SEP] © b . busco / getty images,87
viii,what kind of application ? [SEP],what is main idea ? [SEP],88
[SEP],executive,executive,89
applications and opportunities,transformational potential of big data,"transformational potential of big data . 1 five years later , we remain convinced that this potential has not been overhyped",90
"digital platforms , wireless sensors , and billions of mobile phones",mobile phones,the convergence of several technology trends is accelerating progress,91
digital,analytics,"using their capabilities to tackle business problems with a whole new mindset . in some cases , they have introduced data - driven business models that have taken entire industries by surprise . digital natives have an enormous advantage , and to keep up with them , incumbents need to apply data and analytics to the fundamentals of their existing business while simultaneously shifting the basis of competition . in an environment of increasing volatility , legacy organizations need to have one eye on high - risk , high - reward moves of their own , whether that means entering new markets or changing their business models . at the same time , they have to apply analytics to improve their core operations",92
machine learning and deep learning,machine learning and deep learning,organizations that pursue this two - part strategy will be ready to take advantage of opportunities and thwart potential disruptors,93
data and analytics,data,turning a world full of data into a data - driven world,94
"location - based services and in us retail . in contrast , adoption is lagging in manufacturing , the eu public sector , and us health care",manufacturing,adoption,95
"innovation , competition , and productivity",big data,"big data : the next frontier for innovation , competition , and productivity",96
exhibit,exhibit,exhibit,97
data and analytics,data and analytics,capturing value,98
location,location - based data,location - based data,99
research,end users,revenues for service providers,100
retail1,us retail,us retail,101
productivity,productivity,productivity growth,102
product development,development,up to 50 % lower product development cost up to 25 % lower operating cost up to 30 % gross margin increase,103
eu public sector3,public sector,eu,104
€,productivity,productivity growth,105
us health care,us health care,us health care,106
$,productivity,productivity growth,107
retail,functional,manufacturing levers divided by functional application,108
mc,analysis,expert interviews ; mckinsey global institute analysis,109
value,value captured,value captured,110
penetration of gps - enabled,gps - enabled,penetration of gps - enabled,111
smartphones,smartphones,smartphones,112
companies,analytical,lack of analytical talent siloed data,113
it systems,it systems,skeptical of impact,114
different,analytical,lack of analytical talent siloed data,115
agencies,agencies,agencies,116
clinical,clinical,need to demonstrate clinical,117
utility,utility,utility to gain acceptance,118
interoperability and data sharing,data sharing,interoperability and data sharing,119
[SEP],what kind of application ? [SEP],repeats,120
"global positioning system navigation devices and services , mobile phone location - based service applications , and geo - targeted mobile advertising services",mobile phone location - based service,generate new insights and improve efficiency,121
retail,transaction - based,retailers can mine a trove of transaction - based and behavioral data,122
grocery sector,cross - selling additional products to reducing costs,reducing costs,123
big data,big data,future of decision making,124
manufacturing,manufacturing,manufacturing,125
research and design,design - to - value,design - to - value,126
[SEP],executive,executive,127
public sector and health care,public sector and health care,potential value,128
real - time surveillance and predictive maintenance,after - sales servicing,real - time surveillance and predictive maintenance,129
public sector,public,european,130
tax,analytics,use data and analytics to make government services more efficient,131
clinical operations,analytics,deliver personalized medicine,132
data and analytics,analytics,legacy companies have to overcome hurdles to accelerate their analytics transformation,133
[CLS],[CLS],strategic vision,134
digital america : a tale of the haves and have - mores,digital,digital america,135
"europe : pushing the frontier , capturing the benefits","pushing the frontier , capturing the benefits",pushing the frontier,136
analytics,analytics,legacy companies have to do the hard work of overhauling or changing existing systems,137
exhibit,what kind of application ? [SEP],exhibit,138
data and analytics,data and analytics,focusing on five elements,139
use cases / sources of value,use cases,use cases / sources of value,140
internal,internal,internal,141
data modeling,data modeling,data modeling,142
process,process redesign,process redesign,143
capability building,capability building,capability building,144
data,data,data,145
ecosystem,ecosystem,ecosystem,146
modeling,modeling,modeling insights,147
workflow integration,workflow integration,workflow integration,148
adoption,adoption,adoption,149
external,external,external,150
he,smart box,smart box,151
tech,tech enablement,tech enablement,152
change management,change management,change management,153
business need and projected impact,articulating the business need and projected impact,articulating the business need and projected impact,154
▪,solution,how the business would use the solution,155
gathering data from internal systems and external sources,analytic,gathering data from internal systems and external sources ▪ appending key ▪ creating an analytic ▪ enhancing data,156
external,external data,external data,157
sandbox,sandbox,sandbox,158
deriving new predictor variables,deriving new predictor variables,deriving new predictor variables,159
linear and nonlinear modeling,applying linear and nonlinear modeling,applying linear and nonlinear modeling to derive new insights,160
codifying and testing,codifying and testing,codifying and testing,161
heuristics,heuristics,informing predictor variables,162
redesigning processes,developing,redesigning processes,163
work,intuitive user interface,intuitive user interface,164
automating,automating,automating,165
workflows,workflows,workflows,166
building frontline and management,building frontline and management capabilities,building frontline and management capabilities,167
managing change and tracking adoption,managing change and tracking adoption with performance indicators,managing change and tracking adoption with performance indicators,168
